Hours,Scores,,,,,,,,,,,,,,,"10000R, 26C",,,,
2.5,21,,,Machine learning model developmentsteps,,,,,,,,,,,,,,,,
5.1,47,,,Step1,Data pre processing/Cleaning/ Make data ready for modelling,,,,,,,,,,,cleaning done,,,,
3.2,27,,,Step2,Separate the data wrt dependent (y) & independent (x) variables,,,,,,,,,,Y,"10000R,1C","10000R,25C",X,,
8.5,75,,,Step3,"Split this X,y data into training and testing sample (Xtrain, Xtest, Ytrain, Ytest)",,,,,,,,,70%,y train,"7000r,1c","7000R,25C",X TRAIN,,
3.5,30,,,Step4,Develop the model using any ML algorithm,,,,,,,,,30%,y test,"3000R,1C","3000R, 25C",x test,"(3000R, 1C)",Y predictions
1.5,20,,,Step5,Train the model on Xtrain & ytrain sample,,,,,,,,,,,,,,,
9.2,88,,,Step6,Predict the values of Xtest using the trained model,,,,,,,,,,,"X train, ytrain",Develop the model ,,,
5.5,60,,,Step7,Compare the Actuals (Ytest) & Predictions come from Step6,,,,,,,,,,,,,,,
8.3,81,,,Step8,"Evaluate the model wrt Metrics (R2, MAE, RMSE - Regression & Accuracy, Precision, Recall, F1 Score - Classification)",,,,,,,,,,,Predicting on X test,,,,
2.7,25,,,Step9,Finalize the model,,,,,,,,,,,,,,,
7.7,85,,,,,,,,,,,,,,,,,,,
5.9,62,,,,,,,,,,,,,,,,,,,
4.5,41,,,,,,,,,,,,,,,,,,,
3.3,42,,,,,,,,,,,,,,,,,,,
1.1,17,,,,,,,,,,,,,,,,,,,
8.9,95,,,,,,,,,,,,,,,,,,,
2.5,30,,,,,,,,,,,,,,,,,,,
1.9,24,,,,,,,,,,,,,,,,,,,
6.1,67,,,,,,,,,,,,,,,,,,,
7.4,69,,,,,,,,,,,,,,,,,,,
2.7,30,,,,,,,,,,,,,,,,,,,
4.8,54,,,,,,,,,,,,,,,,,,,
3.8,35,,,,,,,,,,,,,,,,,,,
6.9,76,,,,,,,,,,,,,,,,,,,
7.8,86,,,,,,,,,,,,,,,,,,,
